episode,max,mean,min
1.0,1.6899999622255564,0.716499983984977,0.0
2.0,2.939999934285879,1.5384999656118452,0.5899999868124723
3.0,4.049999909475446,2.648999940790236,1.1799999736249447
4.0,4.119999907910824,2.8049999373033643,0.8899999801069498
5.0,6.73999984934926,2.8144999370910226,0.909999979659915
6.0,6.779999848455191,3.7739999156445263,0.7499999832361937
7.0,7.759999826550484,4.633499896433205,2.679999940097332
8.0,8.089999819174409,5.702999872528016,3.039999932050705
9.0,14.699999671429396,6.459999855607748,1.5199999660253525
10.0,12.949999710544944,7.906999823264778,5.219999883323908
11.0,12.07999972999096,7.49799983240664,2.9099999349564314
12.0,9.689999783411622,7.057999842241406,3.3199999257922173
13.0,13.929999688640237,9.310499791894108,5.49999987706542
14.0,13.919999688863754,10.466499766055495,6.539999853819609
15.0,14.729999670758843,10.393999767675997,4.56999989785254
16.0,18.58999958448112,12.035499730985611,7.459999833256006
17.0,16.829999623820186,12.769999714568257,8.919999800622463
18.0,23.11999948322773,13.754999692551792,8.59999980777502
19.0,20.619999539107084,13.927499688696116,8.2099998164922
20.0,22.30999950133264,16.48399963155389,8.859999801963568
21.0,17.829999601468444,14.828499668557196,10.669999761506915
22.0,20.159999549388885,17.42749961046502,12.629999717697501
23.0,21.539999518543482,15.378999656252564,8.759999804198742
24.0,21.17999952659011,16.014999642036855,7.9799998216331005
25.0,22.829999489709735,16.960499620903285,10.469999765977263
26.0,26.28999941237271,19.323999568074942,2.659999940544367
27.0,27.68999938108027,22.70099949259311,12.039999730885029
28.0,32.049999283626676,22.268999502249063,10.99999975413084
29.0,30.39999932050705,20.751999536156653,10.14999977312982
30.0,30.689999314025044,20.904999532736838,10.279999770224094
31.0,30.51999931782484,23.1069994835183,13.179999705404043
32.0,31.079999305307865,26.298999412171543,13.539999697357416
33.0,31.83999928832054,24.46049945326522,13.239999704062939
34.0,33.049999261274934,25.828999422676862,18.579999584704638
35.0,32.41999927535653,26.82899940032512,15.439999654889107
36.0,33.25999925658107,26.482999408058824,15.21999965980649
37.0,34.43999923020601,27.396499387640507,16.91999962180853
